,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-06-03 19:19:00,346.444,346.86,346.41,346.7501,334924.0,346.8541,346.6461,346.444,346.86,346.41,346.7501,334924,346.8541,346.6461,3.110638616163727,3.04088143627553,0.338265898957395,0.35313056126586173,0,1,-335.772,10.874,Hold,0,10.874,-1.598,12.472000000000001
2025-06-03 19:20:00,346.8049,347.18,346.75,346.8136,436673.0,346.9176,346.7096,346.8049,347.18,346.75,346.8136,436673,346.9176,346.7096,3.0471386161636937,3.3987311080782057,0.33136060161035175,0.3946868199035738,0,1,-335.772,10.938,Hold,0,10.938,-1.535,12.473
2025-06-03 19:21:00,346.7836,347.49,346.58,347.48,322056.0,347.5842,347.3758,346.7836,347.49,346.58,347.48,322056,347.5842,347.3758,2.3807386161636837,3.511952901877993,0.2588930401604727,0.4078350061876851,0,1,-335.772,11.604,Hold,0,11.604,-0.869,12.472999999999999
2025-06-03 19:22:00,347.4415,347.62,347.16,347.6,286601.0,347.7043,347.4957,347.4415,347.62,347.16,347.6,286601,347.7043,347.4957,2.260738616163679,3.146238616163707,0.2458436593471689,0.36536544804029275,0,1,-335.772,11.724,Hold,0,11.724,-0.749,12.473
2025-06-03 19:23:00,347.6146,348.17,347.46,347.86,381192.0,347.9644,347.7556,347.6146,348.17,347.46,347.86,381192,347.9644,347.7556,2.000738616163688,2.8564957590208455,0.21757000091834597,0.3317182770111747,0,1,-335.772,11.984,Hold,0,11.984,-0.489,12.473
2025-06-03 19:24:00,347.9,348.15,347.65,347.71,263351.0,347.8143,347.6057,347.9,348.15,347.65,347.71,263351,347.8143,347.6057,2.1507386161637223,2.6164957590208444,0.23388172693497886,0.3038476294769483,0,1,-335.772,11.834,Hold,0,11.834,-0.639,12.472999999999999
2025-06-03 19:25:00,347.73,348.0,347.66,347.915,178967.0,348.0194,347.8106,347.73,348.0,347.66,347.915,178967,348.0194,347.8106,1.9457386161636814,2.4137814733065537,0.21158903471224785,0.2803068861132174,0,1,-335.772,12.039,Hold,0,12.039,-0.434,12.472999999999999
2025-06-03 19:26:00,347.94,347.99,347.6589,347.87,174445.0,347.9744,347.7656,347.94,347.99,347.6589,347.87,174445,347.9744,347.7656,1.9907386161636973,2.253795759020835,0.21648255251723836,0.2617281133908479,0,1,-335.772,11.994,Hold,0,11.994,-0.479,12.472999999999999
2025-06-03 19:27:00,347.85,347.99,347.35,347.85,236381.0,347.9544,347.7456,347.85,347.99,347.35,347.85,236381,347.9544,347.7456,2.010738616163679,2.10573861616369,0.21865744931945358,0.2445345782096143,0,1,-335.772,11.974,Hold,0,11.974,-0.499,12.473
2025-06-03 19:28:00,347.845,347.9799,347.19,347.255,189513.0,347.3592,347.1508,347.845,347.9799,347.19,347.255,189513,347.3592,347.1508,2.6057386161637064,2.13788147330655,0.283360629185419,0.2482672542186628,0,1,-335.772,11.379,Hold,0,11.379,-1.094,12.472999999999999
