,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-04-02 16:39:00,223.96,223.99,223.84,223.9171,52097.0,223.9843,223.8499,223.96,223.99,223.84,223.9171,52097,223.9843,223.8499,6.318413827231754e-05,2.6778421795151026e-05,2.1382111090462614e-05,1.0465431087504032e-05,0,0,2.926,2.926,Hold,0,2.926,2.564,0.3620000000000001
2025-04-02 16:40:00,223.94,224.02,223.85,223.95,28468.0,224.0172,223.8828,223.94,224.02,223.85,223.95,28468,224.0172,223.8828,0.00013565976758593142,5.958740546803478e-05,4.590855079050095e-05,2.328770120880688e-05,0,0,2.926,2.926,Hold,0,2.926,2.596,0.33000000000000007
2025-04-02 16:41:00,223.9477,223.98,223.71,223.775,76279.0,223.8421,223.7079,223.9477,223.98,223.71,223.775,76279,223.8421,223.7079,0.00036062232499520024,0.00014690559103320606,0.00012203801184270637,5.7413030203499994e-05,0,0,2.926,2.926,Hold,0,2.926,2.422,0.504
2025-04-02 16:42:00,223.79,224.02,223.77,223.995,35618.0,224.0622,223.9278,223.79,224.02,223.77,223.995,35618,224.0622,223.9278,0.0006383308661620616,0.00029944927425387766,0.00021601721359122044,0.00011702951607381603,0,0,2.926,2.926,Hold,0,2.926,2.641,0.28500000000000014
2025-04-02 16:43:00,224.015,224.05,223.83,223.86,36645.0,223.9272,223.7928,224.015,224.05,223.83,223.86,36645,223.9272,223.7928,0.0016449417004421813,0.0006948886647963436,0.0005566638580176541,0.00027157348892871186,0,0,2.926,2.926,Hold,0,2.926,2.506,0.4200000000000004
2025-04-02 16:44:00,223.8885,223.8885,223.53,223.58,54191.0,223.6471,223.5129,223.8885,223.8885,223.53,223.58,54191,223.6471,223.5129,0.0046962869199332945,0.0018350454528831845,0.0015892679932092237,0.0007171648081614768,0,0,2.926,2.926,Hold,0,2.926,2.227,0.6990000000000003
2025-04-02 16:45:00,223.55,223.6626,223.35,223.525,55047.0,223.5921,223.4579,223.55,223.6626,223.35,223.525,55047,223.5921,223.4579,0.01090441483995153,0.004470993581622267,0.0036901573062441424,0.0017473350587678567,0,0,2.926,2.926,Hold,0,2.926,2.172,0.754
2025-04-02 16:46:00,223.53,223.53,223.3,223.41,44138.0,223.477,223.343,223.53,223.53,223.3,223.41,44138,223.477,223.343,0.02637451999977738,0.010905040865026097,0.008925387478774,0.004261862575486493,0,0,2.926,2.926,Hold,0,2.926,2.057,0.8690000000000002
2025-04-02 16:47:00,223.4,223.582,223.37,223.4,124044.0,223.467,223.333,223.4,223.582,223.37,223.4,124044,223.467,223.333,0.059105195768631005,0.025270104382073305,0.020001758297336896,0.009875956768763352,0,0,2.926,2.926,Hold,0,2.926,2.047,0.879
2025-04-02 16:48:00,223.38,223.535,223.33,223.485,63767.0,223.552,223.418,223.38,223.535,223.33,223.485,63767,223.552,223.418,0.1238300062400473,0.0550535342121018,0.0419052474585605,0.021515792559687986,0,0,2.926,2.926,Hold,0,2.926,2.132,0.794
