,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-06-12 18:58:00,199.02,199.0773,198.96,199.031,27756.0,199.0907,198.9713,199.02,199.0773,198.96,199.031,27756.0,199.0907,198.9713,0.0,1.0802126801879514e-06,0.0,2.1027430158532126e-06,0,0,1.106,1.106,Hold,0,1.106,0.013,1.0930000000000002
2025-06-12 18:59:00,199.04,199.04,198.9404,198.9404,28193.0,199.0001,198.8807,199.04,199.04,198.9404,198.9404,28193.0,199.0001,198.8807,2.0974428701162116e-39,7.201417867919677e-07,2.3176164310675904e-39,1.4018286772354752e-06,0,0,1.106,1.106,Hold,0,1.106,-0.078,1.1840000000000002
2025-06-12 19:00:00,198.96,199.035,198.9201,199.035,42891.0,199.0947,198.9753,198.96,199.035,198.9201,199.035,42891.0,199.0947,198.9753,0.0,4.800945245279785e-07,0.0,9.345524514903169e-07,0,0,1.106,1.106,Hold,0,1.106,0.017,1.0890000000000002
2025-06-12 19:01:00,199.04,199.09,198.97,199.0,37786.0,199.0597,198.9403,199.04,199.09,198.97,199.0,37786.0,199.0597,198.9403,0.0,3.200630163519857e-07,0.0,6.230349676602114e-07,0,0,1.106,1.106,Hold,0,1.106,-0.018,1.124
2025-06-12 19:02:00,199.01,199.0687,198.97,199.01,39247.0,199.0697,198.9503,199.01,199.0687,198.97,199.01,39247.0,199.0697,198.9503,0.0,2.1337534423465716e-07,0.0,4.1535664510680756e-07,0,0,1.106,1.106,Hold,0,1.106,-0.008,1.114
2025-06-12 19:03:00,199.0,199.02,198.95,198.95,24632.0,199.0097,198.8903,199.0,199.02,198.95,198.95,24632.0,199.0097,198.8903,3.8286078834765736e-38,1.4225022948977145e-07,4.2305059485928135e-38,2.7690443007120506e-07,0,0,1.106,1.106,Hold,0,1.106,-0.068,1.1740000000000002
2025-06-12 19:04:00,198.975,199.04,198.975,198.984,24137.0,199.0437,198.9243,198.975,199.04,198.975,198.984,24137.0,199.0437,198.9243,2.6460473938230707e-38,9.48334863265143e-08,2.9238092749425605e-38,1.846029533808034e-07,0,0,1.106,1.106,Hold,0,1.106,-0.034,1.1400000000000001
2025-06-12 19:05:00,198.995,199.08,198.9903,199.0704,36956.0,199.1301,199.0107,198.995,199.08,198.9903,199.0704,36956.0,199.1301,199.0107,0.0,6.322232421767621e-08,0.0,1.2306863558720228e-07,0,0,1.106,1.106,Hold,0,1.106,0.052,1.054
2025-06-12 19:06:00,199.08,199.19,199.0401,199.1201,64881.0,199.1798,199.0604,199.08,199.19,199.0401,199.1201,64881.0,199.1798,199.0604,0.0,4.214821614511748e-08,0.0,8.204575705813486e-08,0,0,1.106,1.106,Hold,0,1.106,0.102,1.004
2025-06-12 19:07:00,199.12,199.15,199.03,199.045,34296.0,199.1047,198.9853,199.12,199.15,199.03,199.045,34296.0,199.1047,198.9853,0.0,2.8098810763411656e-08,0.0,5.4697171372089915e-08,0,0,1.106,1.106,Hold,0,1.106,0.027,1.0790000000000002
2025-06-12 19:08:00,199.0315,199.11,199.02,199.11,27013.0,199.1697,199.0503,199.0315,199.11,199.02,199.11,27013.0,199.1697,199.0503,0.0,1.8732540508941105e-08,0.0,3.6464780914726615e-08,0,0,1.106,1.106,Hold,0,1.106,0.092,1.014
2025-06-12 19:09:00,199.115,199.131,199.04,199.05,26580.0,199.1097,198.9903,199.115,199.131,199.04,199.05,26580.0,199.1097,198.9903,0.0,1.2488360339294072e-08,0.0,2.4309853943151076e-08,0,0,1.106,1.106,Hold,0,1.106,0.032,1.074
2025-06-12 19:10:00,199.05,199.13,199.04,199.12,20187.0,199.1797,199.0603,199.05,199.13,199.04,199.12,20187.0,199.1797,199.0603,0.0,8.325573559529382e-09,0.0,1.6206569295434053e-08,0,0,1.106,1.106,Hold,0,1.106,0.102,1.004
2025-06-12 19:11:00,199.11,199.1299,199.07,199.11,35999.0,199.1697,199.0503,199.11,199.1299,199.07,199.11,35999.0,199.1697,199.0503,0.0,5.550382373019589e-09,0.0,1.0804379530289371e-08,0,0,1.106,1.106,Hold,0,1.106,0.092,1.014
