,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,open,high,low,close,volume,ask,bid,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-03-12 17:02:00,217.73,217.73,217.5,217.71,117977,217.7753,217.6447,217.73,217.73,217.5,217.71,117977.0,217.7753,217.6447,0.6049999999999784,0.6309999999999832,0.17846607669616016,0.22862484510756897,0,1,-212.918,4.726,Hold,0,4.726,-2.266,6.992
2025-03-12 17:03:00,217.69,217.725,217.53,217.69,63015,217.7553,217.6247,217.69,217.725,217.53,217.69,63015.0,217.7553,217.6247,0.6249999999999887,0.5989999999999839,0.18436578171091247,0.21703055819244654,0,1,-212.918,4.706,Hold,0,4.706,-2.286,6.992000000000001
2025-03-12 17:04:00,217.68,217.73,217.58,217.59,52971,217.6553,217.5247,217.68,217.73,217.58,217.59,52971.0,217.6553,217.5247,0.724999999999983,0.6369999999999835,0.21386430678465734,0.23079877390415454,0,1,-212.918,4.606,Hold,0,4.606,-2.386,6.992
2025-03-12 17:05:00,217.64,217.74,217.51,217.7099,87982,217.7752,217.6446,217.64,217.74,217.51,217.7099,87982.0,217.7752,217.6446,0.6050999999999818,0.6250199999999836,0.17849557522123488,0.22645816274030553,0,1,-212.918,4.726,Hold,0,4.726,-2.266,6.992
2025-03-12 17:06:00,217.71,217.8,217.69,217.72,65650,217.7853,217.6547,217.71,217.8,217.69,217.72,65650.0,217.7853,217.6547,0.5949999999999875,0.6310199999999839,0.17551622418878818,0.22863209153689115,0,1,-212.918,4.736,Hold,0,4.736,-2.256,6.991999999999999
2025-03-12 17:07:00,217.72,217.83,217.71,217.78,46772,217.8453,217.7147,217.72,217.83,217.71,217.78,46772.0,217.8453,217.7147,0.5349999999999853,0.6170199999999852,0.15781710914453959,0.22355959101152548,0,1,-212.918,4.796,Hold,0,4.796,-2.196,6.992000000000001
2025-03-12 17:08:00,217.78,217.83,217.5513,217.76,69811,217.8253,217.6947,217.78,217.83,217.5513,217.76,69811.0,217.8253,217.6947,0.5549999999999955,0.6030199999999867,0.16371681415929193,0.21848709048615983,0,1,-212.918,4.776,Hold,0,4.776,-2.216,6.992
2025-03-12 17:09:00,217.78,218.06,217.78,217.9401,102109,218.0055,217.8747,217.78,218.06,217.78,217.9401,102109.0,218.0055,217.8747,0.3748999999999853,0.532999999999987,0.11058997050147142,0.1931173414300072,0,1,-212.918,4.956,Hold,0,4.956,-2.036,6.992000000000001
2025-03-12 17:10:00,217.94,218.09,217.8,217.9794,74213,218.0448,217.914,217.94,218.09,217.8,217.9794,74213.0,218.0448,217.914,0.3355999999999881,0.4790999999999884,0.09899705014748984,0.17358821440734795,0,1,-212.918,4.996,Hold,0,4.996,-1.997,6.993
2025-03-12 17:11:00,218.0,218.24,217.6,218.05,141767,218.1154,217.9846,218.0,218.24,217.6,218.05,141767.0,218.1154,217.9846,0.264999999999975,0.4130999999999858,0.07817109144542093,0.1496749976449065,0,1,-212.918,5.066,Hold,0,5.066,-1.926,6.992
