,open,high,low,close,volume,bid,ask,trade_action,StrategyEarning,EarningDiff,signal_smooth,pred_signal,pred_action,Position,Cash,NetValue,Action,TradedAmount,BuyHoldEarning
2025-06-18 15:49:00,175.795,175.795,175.66,175.7,75006.0,175.6473,175.7527,0,0.0,0.576,0.3013619165389513,0.2438553273677826,0,0,0.0,0.0,Hold,0,-0.576
2025-06-18 15:50:00,175.71,175.7828,175.62,175.733,56514.0,175.6803,175.7857,0,0.0,0.543,0.3044528290202891,0.24301156401634216,0,0,0.0,0.0,Hold,0,-0.543
2025-06-18 15:51:00,175.74,175.74,175.605,175.6514,29821.0,175.5987,175.7041,0,0.0,0.624,0.3051373652421837,0.2432871162891388,0,0,0.0,0.0,Hold,0,-0.624
2025-06-18 15:52:00,175.66,175.765,175.63,175.6701,35378.0,175.6174,175.7228,0,0.0,0.606,0.3097404349004054,0.2431371659040451,0,0,0.0,0.0,Hold,0,-0.606
2025-06-18 15:53:00,175.7,175.73,175.585,175.65,77614.0,175.5973,175.7027,0,0.0,0.626,0.3163825336739923,0.24249263107776642,0,0,0.0,0.0,Hold,0,-0.626
2025-06-18 15:54:00,175.65,175.65,175.5,175.52,57867.0,175.4673,175.5727,0,0.0,0.756,0.3245225812936537,0.24498198926448822,0,0,0.0,0.0,Hold,0,-0.756
2025-06-18 15:55:00,175.5,175.63,175.4918,175.56,74332.0,175.5073,175.6127,0,0.0,0.716,0.3293914220134741,0.2546617090702057,0,0,0.0,0.0,Hold,0,-0.716
2025-06-18 15:56:00,175.555,175.56,175.38,175.4537,48124.0,175.4011,175.5063,0,0.0,0.822,0.3319473904732099,0.2636409401893616,0,0,0.0,0.0,Hold,0,-0.822
2025-06-18 15:57:00,175.4547,175.56,175.4,175.539,32369.0,175.4863,175.5917,0,0.0,0.737,0.3319054689730135,0.2755003571510315,0,0,0.0,0.0,Hold,0,-0.737
2025-06-18 15:58:00,175.54,175.655,175.52,175.6399,34100.0,175.5872,175.6926,0,0.0,0.636,0.3367626425160321,0.2804166078567505,0,0,0.0,0.0,Hold,0,-0.636
2025-06-18 15:59:00,175.64,175.685,175.59,175.615,44514.0,175.5623,175.6677,0,0.0,0.661,0.3428643208946421,0.2754586935043335,0,0,0.0,0.0,Hold,0,-0.661
2025-06-18 16:00:00,175.61,175.7,175.535,175.665,53350.0,175.6123,175.7177,0,0.0,0.611,0.3486165338986577,0.26830029487609863,0,0,0.0,0.0,Hold,0,-0.611
2025-06-18 16:01:00,175.66,175.67,175.54,175.575,32548.0,175.5223,175.6277,0,0.0,0.701,0.3589118755736022,0.25511378049850464,0,0,0.0,0.0,Hold,0,-0.701
