trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_mode,reset_peak,rsi_min_thresh,rsi_max_thresh,vol_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
25,0.02324,0.02246,0.01626,18.76801,34.19696,median_nonzero,0,1,78,0.22715,10.72065,1.90869,-5.50098,0.08489,0.29284,17.78196,18166081884.29061
78,0.0419,0.01358,0.03779,19.48029,23.10269,median_nonzero,0,2,80,0.08523,3.11495,1.71485,-3.08012,0.12985,0.27206,19.17898,16408707975.97142
17,0.02205,0.08566,0.04543,18.95044,20.09261,median_nonzero,0,4,76,0.21252,11.29446,0.6145,-2.07047,0.19481,0.13042,6.10945,15603396259.71654
15,0.03793,0.03711,0.01024,18.32649,21.19212,median_nonzero,0,14,80,0.21788,9.98655,0.35823,-5.43998,0.28565,0.29692,1.95347,14269991520.39625
7,0.07449,0.07748,0.03314,18.11373,17.18883,median_nonzero,0,15,71,0.06569,9.64482,1.14552,0.3567,0.05103,0.19052,4.01179,13708665642.53461
82,0.03595,0.01609,0.02827,20.57122,24.54853,median_nonzero,0,2,77,0.03786,5.87815,1.77576,-1.72927,0.13787,0.266,15.86941,12342259579.91275
36,0.0401,0.04242,0.01884,20.65025,29.87661,median_nonzero,0,2,67,0.03889,9.34155,1.99038,-4.18298,0.16572,0.15777,11.63228,12011442687.37232
68,0.03669,0.011,0.05065,21.17661,25.56866,median_nonzero,0,3,76,0.02272,6.14002,1.8576,-1.59326,0.13182,0.29191,18.14321,10402620824.89738
4,0.07554,0.05361,0.06489,21.08209,34.97647,median_nonzero,0,1,90,0.14896,4.5344,1.16737,-2.57396,0.21819,0.01462,16.08064,10382053612.46991
87,0.04946,0.01014,0.03679,21.56232,25.19699,median_nonzero,0,3,78,0.02702,4.17835,1.92995,-2.11487,0.16524,0.2029,19.98455,10049812619.50312
1,0.06782,0.07457,0.06431,19.94501,21.0732,median_nonzero,0,14,90,0.17963,4.75336,0.70913,-3.43869,0.0816,0.22109,7.87511,9210293208.19468
0,0.01676,0.07109,0.02212,21.18888,38.72478,median_nonzero,0,3,81,0.32422,11.70684,0.96459,-0.37674,0.21911,0.10778,18.82376,7735995900.10172
38,0.05186,0.0526,0.01398,22.41133,26.95649,median_nonzero,0,5,58,0.08233,10.39631,1.14677,-6.92316,0.19764,0.20969,16.04628,6561977182.6009
88,0.0391,0.01728,0.02267,23.77226,19.28977,median_nonzero,0,3,68,0.09015,4.84979,1.62761,-2.99094,0.13881,0.24462,14.96996,6266926851.73976
3,0.05681,0.09002,0.04704,21.85767,18.37803,median_nonzero,0,6,99,0.13908,8.23131,1.60975,-1.38015,0.38958,0.17261,19.11793,5835882171.28
29,0.01662,0.03151,0.01992,24.85526,28.00603,median_nonzero,0,2,84,0.05851,11.99659,1.61683,-5.18934,0.20973,0.06872,18.3117,5117610958.1973
9,0.06576,0.03461,0.02429,22.77421,38.03451,median_nonzero,0,18,87,0.25306,4.28471,1.75088,-0.66232,0.10236,0.0168,16.69668,4542827673.34718
40,0.04145,0.02097,0.06047,23.93078,37.29681,median_nonzero,0,3,96,0.12987,12.26158,1.65187,-6.11124,0.31613,0.20163,15.34186,4349004621.00188
6,0.08202,0.09724,0.036,19.98808,33.12499,median_nonzero,0,19,63,0.26602,8.20445,0.60499,-1.11718,0.3963,0.24521,10.11758,3979263131.71317
8,0.04881,0.01174,0.03684,24.6055,27.28716,median_nonzero,0,5,109,0.15825,7.29079,0.89524,-4.59073,0.37273,0.21885,10.39271,3728410789.97528
