trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_choice,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
54,0.0019,0.0035,0.02546,5.41048,6.48091,median_nonzero,0,1,82,8.06156,0.0827,-0.02096,0.00658,0.00516,0.66159,1712890900868.1326
306,0.00111,0.00353,0.02631,5.40534,6.31066,median_nonzero,0,2,85,7.92905,0.08038,-1.35081,0.00661,0.00684,6.35211,1711269885642.1067
44,0.00179,0.00362,0.02544,5.41241,6.53113,median_nonzero,0,1,82,8.09406,0.08409,-1.12724,0.00635,0.005,0.36434,1709324664983.7415
128,0.00134,0.00314,0.02775,5.42619,6.39878,median_nonzero,0,1,84,8.1628,0.0823,-3.47221,0.00638,0.00615,6.97763,1707837524976.9263
216,0.00118,0.00351,0.02553,5.40448,6.31011,median_nonzero,0,2,86,7.93447,0.08146,-1.06737,0.00673,0.00668,6.44447,1706900527328.807
55,0.00192,0.00349,0.02504,5.4094,6.48098,median_nonzero,0,1,81,8.04264,0.08283,0.08523,0.00656,0.00515,1.18061,1704587655171.4736
41,0.00182,0.00366,0.02573,5.41739,6.50223,median_nonzero,0,1,82,8.13086,0.08125,-0.51021,0.00641,0.00525,2.60425,1704240345446.8032
14,0.00199,0.00436,0.02688,5.40419,6.32257,median_nonzero,0,2,83,8.16654,0.08034,2.73632,0.00739,0.00596,7.68111,1702478402831.36
89,0.00157,0.00313,0.03131,5.43142,6.41703,median_nonzero,0,1,84,8.19847,0.08152,-4.92569,0.00603,0.00567,3.90953,1701153814911.623
178,0.00116,0.00348,0.02574,5.41221,6.35018,median_nonzero,0,2,86,7.95766,0.08,-2.17821,0.00657,0.00678,5.60275,1701092340970.726
108,0.00151,0.00309,0.02753,5.41086,6.3955,median_nonzero,0,2,84,8.13275,0.08107,-3.68414,0.00636,0.00607,4.12466,1700923460441.912
308,0.00114,0.00425,0.02544,5.40955,6.30429,median_nonzero,0,3,87,7.95921,0.08068,-1.03478,0.00646,0.00664,5.24403,1698928735338.257
64,0.00172,0.00365,0.02657,5.42636,6.46625,median_nonzero,0,1,81,8.14016,0.08178,-1.40751,0.00608,0.00509,1.87907,1698920592991.9915
287,0.00107,0.00362,0.02562,5.41014,6.31793,median_nonzero,0,2,86,7.9048,0.08066,-0.71701,0.00656,0.00687,5.50786,1698898292110.7087
62,0.00197,0.00378,0.02539,5.42107,6.51833,median_nonzero,0,1,82,8.11717,0.0821,-0.22067,0.00649,0.0052,0.42781,1698791010793.4177
21,0.0016,0.00419,0.02861,5.40035,6.30172,median_nonzero,0,3,84,8.19156,0.08029,3.37654,0.00726,0.00582,9.98906,1698776312743.7717
37,0.00153,0.00411,0.02712,5.42764,6.44021,median_nonzero,0,1,84,8.15736,0.08115,2.11573,0.00738,0.00535,7.26719,1698083034634.7
58,0.00187,0.00387,0.02544,5.409,6.45344,median_nonzero,0,1,80,8.05706,0.08199,0.33065,0.00662,0.00541,2.25718,1697691705211.8875
32,0.0014,0.00437,0.027,5.4015,6.34522,median_nonzero,0,3,83,8.12727,0.08004,3.02236,0.00706,0.00532,9.31944,1697057464507.234
130,0.0014,0.00482,0.02799,5.40315,6.39539,median_nonzero,0,1,85,8.14615,0.09197,-4.08153,0.00634,0.00608,7.04523,1696866683816.988
31,0.00161,0.00423,0.02721,5.40229,6.34043,median_nonzero,0,3,84,8.17313,0.08022,3.14261,0.00729,0.00567,9.38973,1696032819254.0347
12,0.00162,0.00428,0.0274,5.40212,6.30139,median_nonzero,0,3,84,8.05288,0.08031,4.66189,0.00727,0.00582,9.97089,1695119027183.854
11,0.0016,0.00421,0.02755,5.40549,6.30107,median_nonzero,0,3,84,8.1945,0.08008,3.50208,0.0073,0.00567,9.91237,1694107720907.6267
10,0.00156,0.00426,0.02734,5.40278,6.30166,median_nonzero,0,3,84,8.06279,0.08016,4.53335,0.00734,0.0057,9.63832,1693980603514.165
22,0.00168,0.00383,0.02849,5.40082,6.32249,median_nonzero,0,3,83,8.16717,0.08154,3.19587,0.00725,0.00579,8.9937,1692208643697.389
42,0.00183,0.00344,0.02569,5.42718,6.51629,median_nonzero,0,1,81,8.17954,0.08327,-0.45043,0.00628,0.00524,2.59586,1688123646344.135
25,0.00155,0.00418,0.03152,5.4089,6.37729,median_nonzero,0,2,84,8.03954,0.0845,2.67952,0.00739,0.00622,7.1814,1687350364225.1907
59,0.00189,0.00316,0.02633,5.43257,6.51487,median_nonzero,0,1,82,8.07929,0.08296,-0.17292,0.00618,0.00511,0.83885,1684473413322.0957
57,0.00186,0.00351,0.02505,5.42259,6.49014,median_nonzero,0,1,82,8.06826,0.08616,-2.15768,0.00651,0.00525,1.51221,1682636658921.048
38,0.00153,0.0046,0.02955,5.42869,6.43253,median_nonzero,0,1,83,8.11163,0.08542,2.2798,0.00768,0.00539,7.41821,1678471438099.2798
170,0.00119,0.00332,0.02655,5.4086,6.36398,median_nonzero,0,1,86,7.93675,0.09704,-2.01235,0.00649,0.0066,5.89907,1677297248477.6997
20,0.00169,0.00406,0.02664,5.42278,6.33215,median_nonzero,0,2,85,8.09411,0.08231,4.81849,0.00678,0.00619,6.76726,1674160576632.7244
30,0.0019,0.00462,0.0289,5.41284,6.3146,median_nonzero,0,2,81,8.1777,0.08148,4.118,0.00674,0.00558,3.65191,1671518196996.4014
60,0.00184,0.00371,0.02594,5.44154,6.4906,median_nonzero,0,1,81,8.09117,0.08102,-0.84521,0.00678,0.00529,1.27004,1670960154430.669
0,0.00149,0.0031,0.02859,5.41966,6.35795,median_nonzero,0,3,81,8.18926,0.08297,-0.89191,0.00763,0.00564,4.05695,1667847184453.8533
33,0.00138,0.00397,0.02675,5.41837,6.34307,median_nonzero,0,3,83,8.19884,0.08225,2.89613,0.00702,0.00534,9.16807,1667166660172.5117
45,0.00179,0.0037,0.02544,5.41302,6.53292,median_nonzero,0,1,81,8.09614,0.09978,-1.39681,0.00602,0.00504,0.18593,1661507752843.776
36,0.00145,0.00307,0.02635,5.41546,6.39401,median_nonzero,0,3,85,8.07972,0.08163,0.42167,0.00669,0.00509,3.67462,1658275184161.452
23,0.00142,0.00464,0.02915,5.42256,6.31989,median_nonzero,0,3,85,8.08171,0.0855,1.45584,0.00749,0.00552,8.99581,1652585730504.0
34,0.00128,0.0044,0.02564,5.43558,6.36974,median_nonzero,0,3,83,8.13051,0.08002,1.49441,0.00718,0.00518,9.34528,1651159802264.4807
29,0.0015,0.00498,0.02828,5.41833,6.36353,median_nonzero,0,3,82,8.01411,0.08355,2.63258,0.00765,0.00575,5.6161,1651145745246.3616
17,0.00171,0.00445,0.0322,5.43637,6.38886,median_nonzero,0,2,83,8.11756,0.08276,3.68756,0.00745,0.00585,8.4664,1650452799346.9817
48,0.00172,0.00337,0.02523,5.44287,6.48108,median_nonzero,0,1,82,7.88802,0.08495,0.01745,0.00655,0.00505,1.98154,1649673616100.0044
49,0.0018,0.00343,0.02577,5.4591,6.50947,median_nonzero,0,1,80,8.10393,0.08247,-1.65052,0.00616,0.00502,0.63651,1647129882202.067
39,0.00128,0.00326,0.03491,5.44074,6.44527,median_nonzero,0,1,86,8.15104,0.08721,0.90232,0.00755,0.00516,5.67332,1646526427332.787
