trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_mode,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
379,0.01307,0.00527,0.05025,9.07665,6.52892,median_nonzero,0,0,67,7.99629,0.20973,-1.75774,0.00491,0.01762,23.80711,141272868333.6419
1012,0.02417,0.00529,0.05194,9.03786,6.3354,median_nonzero,0,1,69,7.20167,0.20009,-1.86081,0.00187,0.01137,16.56846,141254435114.44028
547,0.01099,0.00506,0.06131,9.09609,6.49748,median_nonzero,0,0,76,7.97429,0.21179,-1.75882,0.00542,0.0158,21.84755,141247134019.96085
153,0.01427,0.00434,0.06382,9.05299,6.69459,median_nonzero,0,1,70,7.48961,0.20737,-1.93222,0.00304,0.02668,27.98191,141246338412.3123
423,0.01064,0.00514,0.05727,9.07874,6.46192,median_nonzero,0,0,76,7.3965,0.22289,-1.72241,0.00469,0.01785,23.46432,141151829348.20157
431,0.01112,0.0053,0.05844,9.11166,6.44254,median_nonzero,0,0,76,7.36742,0.21179,-1.77142,0.00471,0.01511,22.06935,141103451990.75555
878,0.01139,0.00489,0.05106,9.13869,6.23674,median_nonzero,0,1,72,7.07455,0.20345,-2.29245,0.00692,0.00834,20.25059,141065049021.13934
618,0.01069,0.00589,0.05843,9.07012,7.12366,median_nonzero,0,0,76,7.21873,0.20968,-1.66162,0.00119,0.01008,23.45133,141036990312.98053
849,0.01814,0.00465,0.04921,9.06051,6.1805,median_nonzero,0,1,86,7.14303,0.20437,-2.13211,0.00874,0.00882,21.46604,141028621938.73895
218,0.01194,0.00292,0.05376,9.08644,6.6571,median_nonzero,0,1,71,7.52746,0.20806,-2.09402,0.006,0.02177,22.05698,140971645877.10297
1299,0.01338,0.00449,0.05269,9.10348,6.33309,median_nonzero,0,1,75,7.22923,0.20698,-1.96147,0.00172,0.01358,13.68844,140962743189.29816
246,0.01184,0.00338,0.04729,9.06906,6.87603,median_nonzero,0,1,75,7.59929,0.20677,-2.48038,0.00459,0.02234,23.0776,140930533910.85422
1133,0.01334,0.00542,0.05047,9.08964,6.23353,median_nonzero,0,1,73,7.12618,0.21039,-1.94303,0.00824,0.00922,8.25501,140903017451.22122
762,0.01181,0.00489,0.05097,9.11083,6.23423,median_nonzero,0,2,74,7.06685,0.20692,-2.17707,0.00163,0.00861,22.70622,140885706198.5728
1042,0.02277,0.007,0.05372,9.00106,6.32053,median_nonzero,0,2,72,7.22844,0.21045,-1.942,0.00188,0.01142,15.44568,140884478566.50842
