trial,col_signal,sign_thresh,reset_peak,rsi_min_thresh,rsi_max_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
24,ema_9,ema_21,0,84,246,14.47376,-7.56935,0.20364,0.83564,1.07267,13:30:00,-130.06338
50,ema_9,ema_21,0,74,152,18.08339,0.31041,0.10932,0.54079,41.28917,13:30:00,-153.82938
3,ema_9,ema_21,0,85,185,2.49316,-0.58211,0.46838,0.03137,62.99847,08:00:00,-156.81305
0,ema_9,ema_21,0,51,191,7.99067,1.40683,0.35153,0.04562,51.3541,13:30:00,-197.41791
28,ema_9,ema_21,0,67,230,24.88303,6.75765,0.24192,0.67707,17.98701,13:30:00,-198.82559
64,ema_9,ema_21,0,54,109,3.29094,-9.90639,0.03684,0.17309,30.3803,13:30:00,-199.22057
39,ema_9,ema_21,0,79,264,16.26633,-6.77539,0.65667,0.95882,11.53189,13:30:00,-202.6383
76,ema_9,ema_21,0,66,183,1.71135,-8.20201,0.05931,0.57869,37.96061,13:30:00,-206.17366
4,ema_9,ema_21,1,52,137,4.57543,-1.25314,0.93911,0.39808,18.95556,13:30:00,-213.2816
18,ema_9,ema_21,1,78,279,7.39934,7.24945,0.5699,0.72321,36.36661,08:00:00,-214.49334
27,ema_9,ema_21,0,75,300,12.50366,1.12667,0.40618,0.56294,6.4765,13:30:00,-217.97403
14,ema_9,ema_21,0,71,252,17.38807,-5.80147,0.97572,0.46103,29.66714,13:30:00,-227.36169
40,ema_9,ema_21,0,45,81,24.84754,-5.00468,0.45241,0.65274,22.87103,08:00:00,-230.41051
57,ema_9,ema_21,0,20,211,16.40378,3.23985,0.12163,0.63664,33.62767,08:00:00,-233.51593
87,ema_9,ema_21,1,39,259,3.80352,-8.909,0.08731,0.73002,6.97575,13:30:00,-234.08499
19,ema_9,ema_21,0,36,164,21.11587,-3.23159,0.83707,0.51717,9.2198,13:30:00,-234.99953
16,ema_9,ema_21,0,28,234,21.69121,-5.8833,0.61609,0.9985,15.31172,13:30:00,-239.06053
7,ema_9,ema_21,0,77,210,3.80539,4.41212,0.47126,0.8202,44.34916,13:30:00,-241.3958
36,ema_9,ema_21,1,82,271,1.28654,-1.93317,0.87198,0.73859,7.57159,08:00:00,-253.20617
20,ema_9,ema_21,0,62,232,5.96079,-7.63703,0.30571,0.54479,1.86456,13:30:00,-255.08902
1,ema_9,ema_21,0,71,219,2.29194,-0.98741,0.49288,0.11022,33.21563,08:00:00,-258.27367
9,ema_9,ema_21,0,43,63,2.37766,-4.95357,0.32796,0.16565,75.97144,08:00:00,-259.57688
29,ema_9,ema_21,0,51,202,7.81281,3.03894,0.37532,0.77853,28.63684,13:30:00,-259.82853
98,ema_9,ema_21,0,55,198,2.16194,-8.28429,0.51697,0.86282,27.7857,13:30:00,-266.90563
6,ema_9,ema_21,1,24,132,1.13032,9.67806,0.75182,0.88428,74.03728,13:30:00,-267.41684
