trial,col_signal,sign_thresh,reset_peak,rsi_thresh,atr_mult,vwap_atr_mult,invest_frac,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
559,ema_9,ema_21,1,52,10.72492,3.92595,0.01018,0.07553,0.60885,9.25776,13:30:00,15.82355
1205,ema_9,ema_21,1,66,16.1888,4.97331,0.08277,0.0118,0.54205,24.15415,13:30:00,15.70257
2074,ema_9,ema_21,1,70,15.57562,0.07268,0.0057,0.01614,0.46414,33.19234,13:30:00,15.69887
1726,ema_9,ema_21,1,80,8.49519,-1.43146,0.01478,0.12899,0.29102,39.49605,13:30:00,15.69834
1370,ema_9,ema_21,1,64,14.96171,0.20245,0.03176,0.07661,0.77121,45.37602,13:30:00,15.64903
245,ema_9,ema_21,1,75,8.68255,4.07996,0.04665,0.13691,0.15501,35.83249,14:30:00,15.57103
654,ema_9,ema_21,1,73,16.94838,2.99326,0.01087,0.28703,0.6636,47.33909,13:30:00,15.51492
1917,ema_9,ema_21,1,66,9.16117,2.6572,0.02135,0.03036,0.48685,14.46879,13:30:00,15.41549
880,ema_9,ema_21,1,76,15.99197,-1.37209,0.02576,0.06187,0.95996,52.59903,13:30:00,15.36398
1512,ema_9,ema_21,1,69,14.91758,-6.26719,0.02234,0.0321,0.70562,18.5052,13:30:00,15.35081
1024,ema_9,ema_21,1,69,9.79321,-1.10001,0.00597,0.04596,0.26575,8.99533,13:30:00,15.34065
226,ema_9,ema_21,0,70,17.76679,3.74456,0.04987,0.10865,0.28179,34.53038,14:30:00,15.1938
1447,ema_9,ema_21,1,80,16.79432,4.23323,0.0319,0.00552,0.23665,28.01302,13:30:00,15.15996
1727,ema_9,ema_21,1,75,16.11398,-0.28977,0.01717,0.0003,0.56489,28.0526,13:30:00,15.13221
1179,ema_9,ema_21,1,72,6.75973,2.30451,0.06911,0.00164,0.32854,21.34281,13:30:00,15.01157
595,ema_9,ema_21,1,74,16.71585,1.05901,0.00739,0.02567,0.35672,35.97148,13:30:00,14.96736
1023,ema_9,ema_21,1,58,10.6546,-3.02916,0.01072,0.10732,0.76842,58.49257,13:30:00,14.86694
492,ema_9,ema_21,0,72,12.62685,3.54625,0.00575,0.3016,0.45985,30.65047,13:30:00,14.83957
189,ema_9,ema_21,0,66,11.6728,3.02017,0.00765,0.1582,0.18964,16.49598,14:30:00,14.83664
1390,ema_9,ema_21,1,65,12.68348,-1.75987,0.00527,0.02522,0.34848,50.58481,13:30:00,14.73462
244,ema_9,ema_21,0,79,19.59945,3.53707,0.02001,0.20591,0.27287,25.9853,14:30:00,14.70706
674,ema_9,ema_21,1,79,10.34898,-3.34979,0.00543,0.14071,0.45935,36.75712,14:30:00,14.7008
975,ema_9,ema_21,1,67,16.97859,-2.3344,0.05181,0.01369,0.79798,37.67724,14:30:00,14.67421
