,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-05-02 18:58:00,205.28,205.3699,205.28,205.35,54858.0,205.4116,205.2884,205.28,205.3699,205.28,205.35,54858,205.4116,205.2884,0.0,0.03547575351774752,0.0,0.010867998832192706,0,0,5.809,5.809,Hold,0,5.809,0.892,4.917
2025-05-02 18:59:00,205.35,205.45,205.3404,205.4,63817.0,205.4616,205.3384,205.35,205.45,205.3404,205.4,63817,205.4616,205.3384,0.0,0.023650502345165015,0.0,0.007245316165070529,0,0,5.809,5.809,Hold,0,5.809,0.942,4.867
2025-05-02 19:00:00,205.39,205.5097,205.37,205.5,106386.0,205.5616,205.4384,205.39,205.5097,205.37,205.5,106386,205.5616,205.4384,0.0,0.015767001563443347,0.0,0.004830194386989078,0,0,5.809,5.809,Hold,0,5.809,1.042,4.767
2025-05-02 19:01:00,205.5,205.55,205.43,205.43,79482.0,205.4916,205.3684,205.5,205.55,205.43,205.43,79482,205.4916,205.3684,0.0,0.010511334375628898,0.0,0.0032201132016014444,0,0,5.809,5.809,Hold,0,5.809,0.972,4.837
2025-05-02 19:02:00,205.44,205.61,205.43,205.45,92379.0,205.5116,205.3884,205.44,205.61,205.43,205.45,92379,205.5116,205.3884,0.0,0.007007556250419267,0.0,0.0021467257446763544,0,0,5.809,5.809,Hold,0,5.809,0.992,4.817
2025-05-02 19:03:00,205.46,205.54,205.44,205.4985,54308.0,205.5601,205.4369,205.46,205.54,205.44,205.4985,54308,205.5601,205.4369,0.0,0.004671704166946179,0.0,0.0014311341067262946,0,0,5.809,5.809,Hold,0,5.809,1.041,4.768000000000001
2025-05-02 19:04:00,205.52,205.58,205.4622,205.54,63551.0,205.6017,205.4783,205.52,205.58,205.4622,205.54,63551,205.6017,205.4783,0.0,0.003114469444630786,0.0,0.0009540730147595879,0,0,5.809,5.809,Hold,0,5.809,1.082,4.727
2025-05-02 19:05:00,205.541,205.56,205.42,205.5436,109926.0,205.6053,205.4819,205.541,205.56,205.42,205.5436,109926,205.6053,205.4819,0.0,0.002076312963087191,0.0,0.0006360322867817835,0,0,5.809,5.809,Hold,0,5.809,1.086,4.723
2025-05-02 19:06:00,205.545,205.55,205.38,205.38,71709.0,205.4416,205.3184,205.545,205.55,205.38,205.38,71709,205.4416,205.3184,0.0,0.0013842086420581274,0.0,0.0004240051347965804,0,0,5.809,5.809,Hold,0,5.809,0.922,4.8870000000000005
2025-05-02 19:07:00,205.375,205.375,205.16,205.195,107033.0,205.2566,205.1334,205.375,205.375,205.16,205.195,107033,205.2566,205.1334,7.326715476305413e-25,0.000922805761372085,1.7804897876805387e-25,0.00028265370013977835,0,0,5.809,5.809,Hold,0,5.809,0.737,5.072
2025-05-02 19:08:00,205.1999,205.24,205.17,205.175,72067.0,205.2366,205.1134,205.1999,205.24,205.17,205.175,72067,205.2366,205.1134,1.857066534028879e-12,0.0006152038415337456,4.512919888284034e-13,0.00018841941055821535,0,0,5.809,5.809,Hold,0,5.809,0.717,5.0920000000000005
2025-05-02 19:09:00,205.175,205.29,205.175,205.26,75799.0,205.3216,205.1984,205.175,205.29,205.175,205.26,75799,205.3216,205.1984,0.0,0.00041013589435583044,0.0,0.000125596550647535,0,0,5.809,5.809,Hold,0,5.809,0.802,5.007
2025-05-02 19:10:00,205.26,205.3615,205.25,205.35,86047.0,205.4116,205.2884,205.26,205.3615,205.25,205.35,86047,205.4116,205.2884,0.0,0.0002734239295705537,0.0,8.371464404041477e-05,0,0,5.809,5.809,Hold,0,5.809,0.892,4.917
2025-05-02 19:11:00,205.345,205.43,205.28,205.42,90459.0,205.4816,205.3584,205.345,205.43,205.28,205.42,90459,205.4816,205.3584,0.0,0.00018228261971370247,0.0,5.5793372969001264e-05,0,0,5.809,5.809,Hold,0,5.809,0.962,4.847
2025-05-02 19:12:00,205.41,205.43,205.35,205.39,43290.0,205.4516,205.3284,205.41,205.43,205.35,205.39,43290,205.4516,205.3284,0.0,0.00012152174647580167,0.0,3.717919225472559e-05,0,0,5.809,5.809,Hold,0,5.809,0.932,4.877
2025-05-02 19:13:00,205.381,205.41,205.25,205.27,78361.0,205.3316,205.2084,205.381,205.41,205.25,205.27,78361,205.3316,205.2084,0.0,8.101449765053445e-05,0.0,2.4769738445208474e-05,0,0,5.809,5.809,Hold,0,5.809,0.812,4.997
2025-05-02 19:14:00,205.27,205.43,205.21,205.26,107186.0,205.3216,205.1984,205.27,205.43,205.21,205.26,107186,205.3216,205.1984,0.0,5.4009665100356304e-05,0.0,1.649676923886373e-05,0,0,5.809,5.809,Hold,0,5.809,0.802,5.007
2025-05-02 19:15:00,205.2545,205.255,205.01,205.12,137342.0,205.1815,205.0585,205.2545,205.255,205.01,205.12,137342,205.1815,205.0585,1.5265322679679982e-09,3.600695224432686e-05,3.709677443421626e-10,1.0981612319750905e-05,0,0,5.809,5.809,Hold,0,5.809,0.662,5.147
2025-05-02 19:16:00,205.12,205.14,205.06,205.09,58712.0,205.1515,205.0285,205.12,205.14,205.06,205.09,58712,205.1515,205.0285,4.615734028739395e-09,2.4006173407560823e-05,1.121685061662065e-09,7.305156500806596e-06,0,0,5.809,5.809,Hold,0,5.809,0.632,5.1770000000000005
