,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal_raw,signal_norm,signal_scaled,signal_smooth,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2024-12-31 18:47:00,189.69,189.755,189.66,189.68,17781.0,189.7369,189.6231,189.69,189.755,189.66,189.68,17781.0,189.7369,189.6231,0.5417038652465853,0.6149520727334912,0.4420588096506786,0.44730624836953276,0,1,-191.322,-1.698,Hold,0,-1.698,-2.104,0.40600000000000014
2024-12-31 18:48:00,189.69,189.81,189.66,189.72,33370.0,189.7769,189.6631,189.69,189.81,189.66,189.72,33370.0,189.7769,189.6631,0.5092953499339365,0.5781613371594402,0.41561175874190603,0.45017370137884155,0,1,-191.322,-1.658,Hold,0,-1.658,-2.064,0.40600000000000014
2024-12-31 18:49:00,189.74,189.775,189.7,189.705,25183.0,189.7619,189.6481,189.74,189.775,189.7,189.705,25183.0,189.7619,189.6481,0.5250856570378333,0.5960867807562281,0.4284974788007611,0.45176822489045715,0,1,-191.322,-1.673,Hold,0,-1.673,-2.079,0.40600000000000014
2024-12-31 18:50:00,189.7,189.91,189.69,189.77,31595.0,189.8269,189.7131,189.7,189.91,189.69,189.77,31595.0,189.8269,189.7131,0.47006783146009445,0.5336295452684969,0.38360004305255424,0.45241750668714176,0,1,-191.322,-1.608,Hold,0,-1.608,-2.014,0.4059999999999997
2024-12-31 18:51:00,189.73,189.74,189.65,189.67,18031.0,189.7269,189.6131,189.73,189.74,189.65,189.67,18031.0,189.7269,189.6131,0.561560670661325,0.6374938791171345,0.4582630059436278,0.4463352816501249,0,1,-191.322,-1.708,Hold,0,-1.708,-2.114,0.4059999999999999
2024-12-31 18:52:00,189.65,189.8056,189.61,189.73,18965.0,189.7869,189.6731,189.65,189.8056,189.61,189.73,18965.0,189.7869,189.6731,0.5106254571190404,0.5796712990092878,0.416697196075249,0.43725016956213886,0,1,-191.322,-1.648,Hold,0,-1.648,-2.054,0.4059999999999999
2024-12-31 18:53:00,189.75,189.7675,189.69,189.75,10801.0,189.8069,189.6931,189.75,189.7675,189.69,189.75,10801.0,189.8069,189.6931,0.4951784874224563,0.5621356182770822,0.40409165737621516,0.4261828654970135,0,1,-191.322,-1.628,Hold,0,-1.628,-2.034,0.4059999999999999
2024-12-31 18:54:00,189.7521,189.78,189.73,189.74,21572.0,189.7969,189.6831,189.7521,189.78,189.73,189.74,21572.0,189.7969,189.6831,0.5067089541001394,0.5752252136038536,0.413501123878606,0.415106062881433,0,1,-191.322,-1.638,Hold,0,-1.638,-2.044,0.40600000000000014
2024-12-31 18:55:00,189.74,189.845,189.74,189.84,20536.0,189.897,189.783,189.74,189.845,189.74,189.84,20536.0,189.897,189.783,0.4183115498553937,0.47487487377413545,0.3413641985146819,0.4041791627715919,0,1,-191.322,-1.538,Hold,0,-1.538,-1.945,0.40700000000000003
2024-12-31 18:56:00,189.845,189.845,189.7115,189.745,25318.0,189.8019,189.6881,189.845,189.845,189.7115,189.745,25318.0,189.8019,189.6881,0.5072318078255379,0.5758187666552498,0.4139277999839461,0.3959033506462345,0,1,-191.322,-1.633,Hold,0,-1.633,-2.039,0.40600000000000014
