,open,high,low,close,volume,bid,ask,trade_action,StrategyEarning,EarningDiff,signal_smooth,pred_signal,pred_action,Position,Cash,NetValue,Action,TradedAmount,BuyHoldEarning
2025-06-18 16:29:00,175.075,175.18,175.0501,175.18,45975.0,175.1274,175.2326,0,-0.005,1.0910000000000002,0.6025758531999905,0.30396175,0,1,-175.132,-0.005,Hold,0,-1.096
2025-06-18 16:30:00,175.185,175.27,175.1701,175.2548,35347.0,175.2022,175.3074,0,0.07,1.091,0.6117155717396744,0.30491686,0,1,-175.132,0.07,Hold,0,-1.021
2025-06-18 16:31:00,175.2687,175.39,175.26,175.39,37472.0,175.3374,175.4426,0,0.205,1.091,0.6166004459827885,0.2996285,0,1,-175.132,0.205,Hold,0,-0.886
2025-06-18 16:32:00,175.385,175.43,175.36,175.38,40083.0,175.3274,175.4326,0,0.195,1.09,0.621856598132163,0.2899366,0,1,-175.132,0.195,Hold,0,-0.895
2025-06-18 16:33:00,175.3703,175.375,175.27,175.3,37754.0,175.2474,175.3526,0,0.115,1.091,0.6252118262393741,0.28309143,0,1,-175.132,0.115,Hold,0,-0.976
2025-06-18 16:34:00,175.29,175.3454,175.25,175.31,13887.0,175.2574,175.3626,0,0.125,1.091,0.6308529868670324,0.28278977,0,1,-175.132,0.125,Hold,0,-0.966
2025-06-18 16:35:00,175.3129,175.35,175.245,175.267,50594.0,175.2144,175.3196,0,0.082,1.09,0.6368505408541291,0.28242564,0,1,-175.132,0.082,Hold,0,-1.008
2025-06-18 16:36:00,175.265,175.295,175.215,175.265,41185.0,175.2124,175.3176,0,0.08,1.091,0.6408975165552964,0.27349728,0,1,-175.132,0.08,Hold,0,-1.011
2025-06-18 16:37:00,175.26,175.28,175.18,175.28,39823.0,175.2274,175.3326,0,0.095,1.091,0.6422408225679668,0.25872925,0,1,-175.132,0.095,Hold,0,-0.996
2025-06-18 16:38:00,175.2875,175.31,175.26,175.2916,23552.0,175.239,175.3442,0,0.107,1.091,0.6420866213477887,0.25340334,0,1,-175.132,0.107,Hold,0,-0.984
2025-06-18 16:39:00,175.295,175.425,175.21,175.41,106765.0,175.3574,175.4626,0,0.225,1.09,0.6432843526264775,0.25398195,0,1,-175.132,0.225,Hold,0,-0.865
2025-06-18 16:40:00,175.3936,175.49,175.335,175.49,48127.0,175.4374,175.5426,0,0.305,1.091,0.6415998148022469,0.25151616,0,1,-175.132,0.305,Hold,0,-0.786
2025-06-18 16:41:00,175.475,175.52,175.4562,175.47,22896.0,175.4174,175.5226,0,0.285,1.091,0.6392870432632987,0.24961968,0,1,-175.132,0.285,Hold,0,-0.806
2025-06-18 16:42:00,175.47,175.4724,175.34,175.365,18564.0,175.3124,175.4176,0,0.18,1.091,0.6407664279334531,0.24975705,0,1,-175.132,0.18,Hold,0,-0.911
2025-06-18 16:43:00,175.35,175.35,175.2,175.205,25722.0,175.1524,175.2576,0,0.02,1.091,0.6450007733520134,0.24339786,0,1,-175.132,0.02,Hold,0,-1.071
